Query_3154261,1AKE_A,100.000,214,0,0,1,214,1,214,1.78e-156,432,100.00
Query_3154261,8BQF_A,99.533,214,1,0,1,214,21,234,2.91e-156,433,100.00
Query_3154261,4X8M_A,99.533,214,1,0,1,214,1,214,3.18e-156,432,100.00
Query_3154261,6S36_A,99.533,214,1,0,1,214,1,214,4.67e-156,432,100.00
Query_3154261,9R6U_A,99.533,214,1,0,1,214,1,214,1.04e-155,431,99.53
Query_3154261,9R71_A,99.533,214,1,0,1,214,1,214,1.23e-155,431,99.53
Query_3154261,8Q2B_A,99.533,214,1,0,1,214,1,214,1.24e-155,431,99.53
Query_3154261,8RJ9_A,99.533,214,1,0,1,214,1,214,1.24e-155,431,99.53
Query_3154261,6RZE_A,99.533,214,1,0,1,214,1,214,1.34e-155,431,99.53
Query_3154261,4X8H_A,99.533,214,1,0,1,214,1,214,1.76e-155,430,99.53
Query_3154261,3HPR_A,99.533,214,1,0,1,214,1,214,2.50e-155,430,99.53
Query_3154261,1E4V_A,99.533,214,1,0,1,214,1,214,2.65e-155,430,99.53
Query_3154261,5EJE_A,99.065,214,2,0,1,214,1,214,7.93e-155,429,99.07
Query_3154261,1E4Y_A,99.065,214,2,0,1,214,1,214,4.59e-154,427,99.07
Query_3154261,3X2S_A,98.598,214,3,0,1,214,1,214,7.68e-154,426,98.60
Query_3154261,6HAP_A,98.131,214,4,0,1,214,1,214,2.28e-153,425,98.60
Query_3154261,6HAM_A,97.196,214,6,0,1,214,1,214,4.64e-153,424,98.60
Query_3154261,8PVW_A,84.579,214,6,2,1,214,1,187,8.48e-122,344,85.05
Query_3154261,4K46_A,73.239,213,57,0,1,213,1,213,2.06e-115,329,84.98
Query_3154261,4NP6_A,72.642,212,58,0,2,213,5,216,1.14e-113,325,84.43
Query_3154261,3GMT_A,62.500,216,75,1,2,211,10,225,8.95e-90,265,71.30
Query_3154261,4PZL_A,57.346,211,86,2,2,209,26,235,2.14e-86,256,74.41
Query_3154261,5G3Y_A,55.505,218,88,2,1,214,1,213,3.16e-76,230,68.81
Query_3154261,5G3Z_A,50.459,218,99,2,1,214,1,213,6.05e-73,221,69.27
Query_3154261,5G40_A,49.541,218,101,2,1,214,1,213,1.24e-70,216,68.35
Query_3154261,5X6J_A,50.000,218,98,3,1,213,1,212,2.26e-68,210,65.60
Query_3154261,2C9Y_A,53.723,188,83,1,1,184,17,204,1.14e-67,209,69.68
Query_3154261,1S3G_A,49.541,218,99,3,1,213,1,212,1.17e-67,208,65.14
Query_3154261,9GR0_A,53.723,188,83,1,1,184,16,203,1.24e-67,209,69.68
Query_3154261,9FL7_D,53.723,188,83,1,1,184,22,209,1.66e-67,209,69.68
Query_3154261,1AK2_A,52.660,188,85,1,1,184,17,204,2.95e-67,207,70.21
Query_3154261,3BE4_A,48.611,216,102,3,2,213,7,217,7.92e-67,206,68.06
Query_3154261,1AKY_A,46.119,219,108,3,1,214,5,218,1.12e-66,206,65.75
Query_3154261,3AKY_A,46.119,219,108,3,1,214,5,218,1.36e-66,205,65.30
Query_3154261,3FB4_A,48.165,218,104,2,1,214,1,213,5.00e-66,204,65.14
Query_3154261,4QBI_A,47.248,218,106,2,1,214,1,213,2.42e-64,199,65.60
Query_3154261,1DVR_A,45.205,219,110,3,1,214,5,218,5.23e-64,199,64.84
Query_3154261,3DKV_A,49.772,219,99,3,1,214,1,213,2.81e-63,197,66.67
Query_3154261,3DL0_A,48.165,218,104,2,1,214,1,213,1.24e-62,195,66.97
Query_3154261,1ZIN_A,45.413,218,110,2,1,214,1,213,1.38e-62,195,65.60
Query_3154261,2P3S_A,47.248,218,106,2,1,214,1,213,2.09e-62,194,66.97
Query_3154261,2EU8_A,47.248,218,106,2,1,214,1,213,2.18e-62,194,66.97
Query_3154261,1P3J_A,47.248,218,106,2,1,214,1,213,2.95e-62,194,66.97
Query_3154261,4QBF_A,49.772,219,99,3,1,214,1,213,4.72e-62,194,66.21
Query_3154261,2ORI_A,47.248,218,106,2,1,214,1,213,7.39e-62,193,66.97
Query_3154261,5X6I_A,46.789,218,107,2,1,214,1,213,1.40e-61,192,66.51
Query_3154261,2QAJ_A,47.005,217,106,2,1,213,1,212,1.51e-61,192,66.82
Query_3154261,2OO7_A,46.789,218,107,2,1,214,1,213,1.76e-61,192,66.51
Query_3154261,2OSB_A,46.789,218,107,2,1,214,1,213,3.01e-61,192,66.51
Query_3154261,4MKF_A,46.789,218,107,2,1,214,1,213,3.35e-61,191,66.51
Query_3154261,3TLX_A,44.393,214,106,3,2,211,31,235,2.12e-60,190,64.95
Query_3154261,4MKH_A,48.624,218,101,3,1,213,3,214,2.16e-60,189,65.60
Query_3154261,4QBH_A,45.872,218,109,2,1,214,1,213,4.33e-60,189,64.68
Query_3154261,4TYQ_A,48.165,218,102,3,1,213,1,212,5.32e-60,188,65.60
Query_3154261,4QBG_B,47.248,218,104,3,1,213,1,212,9.32e-59,185,65.60
Query_3154261,4TYP_A,47.248,218,104,3,1,213,1,212,1.75e-58,184,65.14
Query_3154261,4JKY_A,44.037,218,103,5,1,214,1,203,8.05e-56,177,66.51
Query_3154261,2RGX_A,43.578,218,104,4,1,214,1,203,9.22e-56,177,65.60
Query_3154261,4JLO_A,43.578,218,104,5,1,214,1,203,2.75e-55,176,66.51
Query_3154261,1ZAK_A,42.326,215,112,3,1,214,6,209,5.53e-54,173,63.72
Query_3154261,1ZD8_A,43.915,189,96,3,1,185,8,190,4.31e-50,164,64.55
Query_3154261,2AK3_A,44.324,185,101,2,1,185,7,189,5.92e-50,163,65.41
Query_3154261,4NTZ_A,38.532,218,119,4,1,213,6,213,2.11e-46,154,62.39
Query_3154261,2AR7_A,41.304,184,102,3,1,182,28,207,7.45e-45,150,64.13
Query_3154261,3NDP_A,40.761,184,103,3,1,182,6,185,6.23e-44,148,63.59
Query_3154261,1P4S_A,39.785,186,77,2,1,182,1,155,1.03e-38,133,56.99
Query_3154261,2CDN_A,39.785,186,77,2,1,182,21,175,1.86e-38,133,56.99
Query_3154261,3L0P_A,32.735,223,131,7,1,209,1,218,3.98e-31,115,54.26
Query_3154261,5X6L_A,35.784,204,98,3,3,205,13,184,4.86e-31,114,52.45
Query_3154261,2XB4_A,32.735,223,131,7,1,209,1,218,5.25e-31,114,54.26
Query_3154261,5XRU_A,35.294,204,99,3,3,205,11,182,5.83e-31,113,52.45
Query_3154261,5YCC_A,35.294,204,99,3,3,205,11,182,6.85e-31,113,52.45
Query_3154261,5X6K_A,35.294,204,99,3,3,205,13,184,8.12e-31,113,52.45
